Dataset,Model,Score
Iris,SVM,1.0
Iris,RF,1.0
Iris,MLP,0.6333333333333333
Iris,KNN,1.0
Iris,"Standard KAN [d, 2d+1, C]",1.0
Iris,"Standard KAN [d, 5, 5, 5, C]",0.9666666666666667
Iris,GA-KAN,0.9666666666666667
Wine,SVM,1.0
Wine,RF,1.0
Wine,MLP,0.6111111111111112
Wine,KNN,0.9444444444444444
Wine,"Standard KAN [d, 2d+1, C]",1.0
Wine,"Standard KAN [d, 5, 5, 5, C]",0.9722222222222222
Wine,GA-KAN,1.0
WDBC,SVM,0.9736842105263158
WDBC,RF,0.9649122807017544
WDBC,MLP,0.9736842105263158
WDBC,KNN,0.9649122807017544
WDBC,"Standard KAN [d, 2d+1, C]",0.9298245614035088
WDBC,"Standard KAN [d, 5, 5, 5, C]",0.37719298245614036
WDBC,GA-KAN,0.956140350877193
Digits,SVM,0.9833333333333333
Digits,RF,0.9722222222222222
Digits,MLP,0.9166666666666666
Digits,KNN,0.9861111111111112
Digits,"Standard KAN [d, 2d+1, C]",0.9722222222222222
Digits,"Standard KAN [d, 5, 5, 5, C]",0.7611111111111111
Digits,GA-KAN,0.8944444444444445
Raisin,SVM,0.8777777777777778
Raisin,RF,0.8611111111111112
Raisin,MLP,0.85
Raisin,KNN,0.8444444444444444
Raisin,"Standard KAN [d, 2d+1, C]",0.7888888888888889
Raisin,"Standard KAN [d, 5, 5, 5, C]",0.8222222222222222
Raisin,GA-KAN,0.8555555555555555
Rice,SVM,0.9291338582677166
Rice,RF,0.9238845144356955
Rice,MLP,0.926509186351706
Rice,KNN,0.910761154855643
Rice,"Standard KAN [d, 2d+1, C]",0.9081364829396326
Rice,"Standard KAN [d, 5, 5, 5, C]",0.8805774278215223
Rice,GA-KAN,0.926509186351706
Banknote,SVM,1.0
Banknote,RF,0.9927272727272727
Banknote,MLP,0.9963636363636363
Banknote,KNN,1.0
Banknote,"Standard KAN [d, 2d+1, C]",1.0
Banknote,"Standard KAN [d, 5, 5, 5, C]",0.9963636363636363
Banknote,GA-KAN,1.0
Glass,SVM,0.6976744186046512
Glass,RF,0.8604651162790697
Glass,MLP,0.4883720930232558
Glass,KNN,0.6744186046511628
Glass,"Standard KAN [d, 2d+1, C]",0.7906976744186046
Glass,"Standard KAN [d, 5, 5, 5, C]",0.5813953488372093
Glass,GA-KAN,0.7441860465116279
Moons,SVM,1.0
Moons,RF,1.0
Moons,MLP,1.0
Moons,KNN,1.0
Moons,"Standard KAN [d, 2d+1, C]",1.0
Moons,"Standard KAN [d, 5, 5, 5, C]",1.0
Moons,GA-KAN,1.0
Circles,SVM,1.0
Circles,RF,0.985
Circles,MLP,1.0
Circles,KNN,1.0
Circles,"Standard KAN [d, 2d+1, C]",1.0
Circles,"Standard KAN [d, 5, 5, 5, C]",1.0
Circles,GA-KAN,1.0
Toy1_Eq_6a,SVM,0.026410971307954022
Toy1_Eq_6a,RF,0.015867092752474478
Toy1_Eq_6a,MLP,0.4864000380039215
Toy1_Eq_6a,KNN,0.02512538433074951
Toy1_Eq_6a,"Standard KAN [d, 2d+1, C]",5.482206688611768e-06
Toy1_Eq_6a,"Standard KAN [d, 5, 5, 5, C]",0.010328962467610836
Toy1_Eq_6a,GA-KAN,0.0003792584175243974
Toy2_Eq_6b,SVM,0.00278969548513746
Toy2_Eq_6b,RF,0.0008422880050533627
Toy2_Eq_6b,MLP,0.005025124177336693
Toy2_Eq_6b,KNN,0.00048811250599101186
Toy2_Eq_6b,"Standard KAN [d, 2d+1, C]",4.598483656081953e-07
Toy2_Eq_6b,"Standard KAN [d, 5, 5, 5, C]",5.293067601996881e-07
Toy2_Eq_6b,GA-KAN,0.0001657359243836254
Toy3_sincos,SVM,0.0027250756135080547
Toy3_sincos,RF,0.0036712690851068907
Toy3_sincos,MLP,0.022021472454071045
Toy3_sincos,KNN,0.005922951735556126
Toy3_sincos,"Standard KAN [d, 2d+1, C]",4.127997783598403e-07
Toy3_sincos,"Standard KAN [d, 5, 5, 5, C]",1.2430784863681765e-06
Toy3_sincos,GA-KAN,0.0009627720573917031
Toy4_radial,SVM,0.0013405906523486551
Toy4_radial,RF,0.000564041220088991
Toy4_radial,MLP,0.05474596098065376
Toy4_radial,KNN,0.0006085401983000338
Toy4_radial,"Standard KAN [d, 2d+1, C]",8.731181878829375e-06
Toy4_radial,"Standard KAN [d, 5, 5, 5, C]",4.87463739773375e-06
Toy4_radial,GA-KAN,0.00024817214580252767
Diabetes,SVM,0.41519891351380106
Diabetes,RF,0.49339087195012477
Diabetes,MLP,0.7701537609100342
Diabetes,KNN,0.48310479521751404
Diabetes,"Standard KAN [d, 2d+1, C]",1.1209731101989746
Diabetes,"Standard KAN [d, 5, 5, 5, C]",0.864141047000885
Diabetes,GA-KAN,0.868086576461792
